gene,pVal
"SUGT1",0.00709196831522022
"DNAJC6",0.00710013723152128
"TMEM242",0.00726684139690819
"CNOT3",0.00728930209319808
"PTPLAD1",0.00733538986357473
"KIAA0247",0.00736203184232056
"RP11-343N15.5",0.0073662389251806
"USP22",0.00739736278098318
"ISG15",0.00741552822453298
"DUSP1",0.00742092674845971
"EXOSC8",0.00746794960263069
"CLPB",0.00747535420190384
"HTATSF1",0.00749772484587917
"HIST1H4H",0.00760397536988959
"RP11-486G15.2",0.00762153521486598
"AC002310.12",0.00762153521486598
"BACH1",0.00771689895800544
"PPP2R5E",0.00772682277717581
"MYL12A",0.0077552245737826
"EIF4A2",0.00784104221303955
"VNN1",0.00784104221303955
"RP13-1032I1.7",0.00789489223078447
"AKIRIN2",0.00789703961067994
"ZFAS1",0.00799248534220606
"DAG1",0.00800733414572848
"CHMP5",0.00810994432679578
"SIN3B",0.00811180351366451
"HMG20B",0.00813245778669621
"CYFIP2",0.0081769984078447
"RP11-361F15.2",0.0081769984078447
"JRKL",0.0081769984078447
"HIF1A",0.00827350076185933
"MYL9",0.00833449854596951
"PMF1",0.00837093925989282
"TAPBPL",0.00846572626060114
"ZNF687",0.00846809283048634
"C19orf55",0.00846809283048634
"ZFP14",0.00846809283048634
"PXMP4",0.00846809283048634
"AC010642.1",0.00847700368633278
"MAN1A1",0.00848640372235138
"NQO2",0.00858215675327933
"MPDZ",0.0086246992821477
"MFGE8",0.00869484831269748
"PRDX5",0.00869680322875147
"FICD",0.00876841963224145
"MCF2L",0.00876841963224145
"TDO2",0.00879273767290471
"PRDX1",0.00881649639497359
"TCTEX1D2",0.00883234742802407
"ATP5B",0.00890439074915835
"MIR4519",0.00894712477681512
"AHCY",0.00898847985246461
"SF3B5",0.00899447356982058
"UGT2A3",0.00904442739755314
"MYL5",0.00904445047398788
"AHSG",0.00907612396594639
"ZNF606",0.00907822805160292
"CNTRL",0.00907822805160292
"VPS16",0.00917755533158345
"THRA",0.00926648837477961
"CORO1C",0.00940566496848436
"FLYWCH1",0.0094528246532465
"PTP4A1",0.00947253544069971
"ARPC2",0.00947934613109874
"UBBP4",0.00947965689024982
"ABCC5",0.0095666400729241
"PEA15",0.00964567270701586
"TRIM66",0.00972731254903996
"JMJD6",0.00978747237524875
"SLC12A2",0.00983485383140432
"SNRNP25",0.00983557206710079
"VMP1",0.00992156543559315
"NES",0.00998386412030269
"FAM110B",0.00998386412030269
"MECR",0.0100313442017604
"HNF1A-AS1",0.0102592198175418
"LMAN2",0.0103222139762923
"PPIA",0.0103318289381036
"NSA2",0.0103602676575703
"AGPS",0.0103788741153376
"RPL14",0.0105122998762765
"PIR",0.010541314996534
"SRPRB",0.010578324128543
"FOCAD",0.0106044298142863
"TXN",0.0106301660670787
"RNF113A",0.010830288965983
"ODC1",0.0108892424705352
"LHPP",0.0109116525237767
"GLA",0.0109234591698028
"PIP4K2B",0.0109464736842554
"TTR",0.0110045988414799
"ZNF302",0.0110979462597698
"XIST",0.0111365572986266
"FAM24B",0.0113471234407872
"WBP4",0.0113827421366855
"AKR1C2",0.0114866713488212
"CCM2",0.0116932615240151
"MIOS",0.0117399092109775
"TTC32",0.0117399092109775
"POLR2G",0.0117501657096051
